customer_email,frequency,percentage
harold.martino@sakilacustomer.org,1,0.17
bob.pfeiffer@sakilacustomer.org,1,0.17
sean.douglass@sakilacustomer.org,1,0.17
jo.fowler@sakilacustomer.org,1,0.17
raul.fortier@sakilacustomer.org,1,0.17
jeanne.lawson@sakilacustomer.org,1,0.17
annette.olson@sakilacustomer.org,1,0.17
cindy.fisher@sakilacustomer.org,1,0.17
diane.collins@sakilacustomer.org,1,0.17
shelly.watts@sakilacustomer.org,1,0.17
megan.palmer@sakilacustomer.org,1,0.17
erica.matthews@sakilacustomer.org,1,0.17
beverly.brooks@sakilacustomer.org,1,0.17
beatrice.arnold@sakilacustomer.org,1,0.17
glen.talbert@sakilacustomer.org,1,0.17
randy.gaither@sakilacustomer.org,1,0.17
virginia.green@sakilacustomer.org,1,0.17
tyrone.asher@sakilacustomer.org,1,0.17
glenda.frazier@sakilacustomer.org,1,0.17
louis.leone@sakilacustomer.org,1,0.17
rhonda.kennedy@sakilacustomer.org,1,0.17
herman.devore@sakilacustomer.org,1,0.17
carla.gutierrez@sakilacustomer.org,1,0.17
carol.garcia@sakilacustomer.org,1,0.17
perry.swafford@sakilacustomer.org,1,0.17
anita.morales@sakilacustomer.org,1,0.17
andrea.henderson@sakilacustomer.org,1,0.17
michelle.clark@sakilacustomer.org,1,0.17
lauren.hudson@sakilacustomer.org,1,0.17
susan.wilson@sakilacustomer.org,1,0.17
gertrude.castillo@sakilacustomer.org,1,0.17
yolanda.weaver@sakilacustomer.org,1,0.17
lawrence.lawton@sakilacustomer.org,1,0.17
betty.white@sakilacustomer.org,1,0.17
troy.quigley@sakilacustomer.org,1,0.17
mario.cheatham@sakilacustomer.org,1,0.17
clara.shaw@sakilacustomer.org,1,0.17
matthew.mahan@sakilacustomer.org,1,0.17
tamara.nguyen@sakilacustomer.org,1,0.17
billie.horton@sakilacustomer.org,1,0.17
wendy.harrison@sakilacustomer.org,1,0.17
mabel.holland@sakilacustomer.org,1,0.17
edward.baugh@sakilacustomer.org,1,0.17
dean.sauer@sakilacustomer.org,1,0.17
minnie.romero@sakilacustomer.org,1,0.17
cynthia.young@sakilacustomer.org,1,0.17
jack.foust@sakilacustomer.org,1,0.17
sidney.burleson@sakilacustomer.org,1,0.17
elaine.stevens@sakilacustomer.org,1,0.17
brittany.riley@sakilacustomer.org,1,0.17
billy.poulin@sakilacustomer.org,1,0.17
cory.meehan@sakilacustomer.org,1,0.17
pauline.henry@sakilacustomer.org,1,0.17
leona.obrien@sakilacustomer.org,1,0.17
nicole.peterson@sakilacustomer.org,1,0.17
dustin.gillette@sakilacustomer.org,1,0.17
nathaniel.adam@sakilacustomer.org,1,0.17
sally.pierce@sakilacustomer.org,1,0.17
jesus.mccartney@sakilacustomer.org,1,0.17
isaac.oglesby@sakilacustomer.org,1,0.17
marshall.thorn@sakilacustomer.org,1,0.17
peggy.myers@sakilacustomer.org,1,0.17
theresa.watson@sakilacustomer.org,1,0.17
peter.menard@sakilacustomer.org,1,0.17
josephine.gomez@sakilacustomer.org,1,0.17
kurt.emmons@sakilacustomer.org,1,0.17
steven.curley@sakilacustomer.org,1,0.17
grace.ellis@sakilacustomer.org,1,0.17
justin.ngo@sakilacustomer.org,1,0.17
gwendolyn.may@sakilacustomer.org,1,0.17
victoria.gibson@sakilacustomer.org,1,0.17
bobbie.craig@sakilacustomer.org,1,0.17
carolyn.perez@sakilacustomer.org,1,0.17
amy.lopez@sakilacustomer.org,1,0.17
joann.gardner@sakilacustomer.org,1,0.17
leroy.bustamante@sakilacustomer.org,1,0.17
albert.crouse@sakilacustomer.org,1,0.17
sherri.rhodes@sakilacustomer.org,1,0.17
lynn.payne@sakilacustomer.org,1,0.17
frank.waggoner@sakilacustomer.org,1,0.17
jane.bennett@sakilacustomer.org,1,0.17
reginald.kinder@sakilacustomer.org,1,0.17
william.satterfield@sakilacustomer.org,1,0.17
kelly.knott@sakilacustomer.org,1,0.17
doris.reed@sakilacustomer.org,1,0.17
melvin.ellington@sakilacustomer.org,1,0.17
shannon.freeman@sakilacustomer.org,1,0.17
cathy.spencer@sakilacustomer.org,1,0.17
mitchell.westmoreland@sakilacustomer.org,1,0.17
angel.barclay@sakilacustomer.org,1,0.17
johnnie.chisholm@sakilacustomer.org,1,0.17
irene.price@sakilacustomer.org,1,0.17
wanda.patterson@sakilacustomer.org,1,0.17
katie.elliott@sakilacustomer.org,1,0.17
caroline.bowman@sakilacustomer.org,1,0.17
lester.kraus@sakilacustomer.org,1,0.17
marian.mendoza@sakilacustomer.org,1,0.17
jose.andrew@sakilacustomer.org,1,0.17
bessie.morrison@sakilacustomer.org,1,0.17
felix.gaffney@sakilacustomer.org,1,0.17
duane.tubbs@sakilacustomer.org,1,0.17
vernon.chapa@sakilacustomer.org,1,0.17
jamie.waugh@sakilacustomer.org,1,0.17
brett.cornwell@sakilacustomer.org,1,0.17
kay.caldwell@sakilacustomer.org,1,0.17
kimberly.lee@sakilacustomer.org,1,0.17
katherine.rivera@sakilacustomer.org,1,0.17
darlene.rose@sakilacustomer.org,1,0.17
tom.milner@sakilacustomer.org,1,0.17
ricky.shelby@sakilacustomer.org,1,0.17
judith.cox@sakilacustomer.org,1,0.17
karl.seal@sakilacustomer.org,1,0.17
carrie.porter@sakilacustomer.org,1,0.17
brandon.huey@sakilacustomer.org,1,0.17
ralph.madrigal@sakilacustomer.org,1,0.17
sergio.stanfield@sakilacustomer.org,1,0.17
freddie.duggan@sakilacustomer.org,1,0.17
george.linton@sakilacustomer.org,1,0.17
dianne.shelton@sakilacustomer.org,1,0.17
tracy.cole@sakilacustomer.org,1,0.17
maria.miller@sakilacustomer.org,1,0.17
ann.evans@sakilacustomer.org,1,0.17
brandy.graves@sakilacustomer.org,1,0.17
esther.crawford@sakilacustomer.org,1,0.17
edgar.rhoads@sakilacustomer.org,1,0.17
ronald.weiner@sakilacustomer.org,1,0.17
johnny.turpin@sakilacustomer.org,1,0.17
rafael.abney@sakilacustomer.org,1,0.17
mary.smith@sakilacustomer.org,1,0.17
arthur.simpkins@sakilacustomer.org,1,0.17
shawn.heaton@sakilacustomer.org,1,0.17
christopher.greco@sakilacustomer.org,1,0.17
jeffrey.spear@sakilacustomer.org,1,0.17
jason.morrissey@sakilacustomer.org,1,0.17
travis.estep@sakilacustomer.org,1,0.17
carl.artis@sakilacustomer.org,1,0.17
april.burns@sakilacustomer.org,1,0.17
carole.barnett@sakilacustomer.org,1,0.17
lillian.griffin@sakilacustomer.org,1,0.17
jaime.nettles@sakilacustomer.org,1,0.17
jay.robb@sakilacustomer.org,1,0.17
leah.curtis@sakilacustomer.org,1,0.17
ruth.martinez@sakilacustomer.org,1,0.17
tanya.gilbert@sakilacustomer.org,1,0.17
toni.holt@sakilacustomer.org,1,0.17
chad.carbone@sakilacustomer.org,1,0.17
anne.powell@sakilacustomer.org,1,0.17
donald.mahon@sakilacustomer.org,1,0.17
edwin.burk@sakilacustomer.org,1,0.17
patrick.newsom@sakilacustomer.org,1,0.17
deborah.walker@sakilacustomer.org,1,0.17
allison.stanley@sakilacustomer.org,1,0.17
bernice.willis@sakilacustomer.org,1,0.17
rodney.moeller@sakilacustomer.org,1,0.17
lance.pemberton@sakilacustomer.org,1,0.17
velma.lucas@sakilacustomer.org,1,0.17
melanie.armstrong@sakilacustomer.org,1,0.17
seth.hannon@sakilacustomer.org,1,0.17
antonio.meek@sakilacustomer.org,1,0.17
sheila.wells@sakilacustomer.org,1,0.17
neil.renner@sakilacustomer.org,1,0.17
danielle.daniels@sakilacustomer.org,1,0.17
eugene.culpepper@sakilacustomer.org,1,0.17
stella.moreno@sakilacustomer.org,1,0.17
alexander.fennell@sakilacustomer.org,1,0.17
julie.sanchez@sakilacustomer.org,1,0.17
micheal.forman@sakilacustomer.org,1,0.17
rachel.barnes@sakilacustomer.org,1,0.17
curtis.irby@sakilacustomer.org,1,0.17
erika.pena@sakilacustomer.org,1,0.17
viola.hanson@sakilacustomer.org,1,0.17
erik.guillen@sakilacustomer.org,1,0.17
phillip.holm@sakilacustomer.org,1,0.17
priscilla.lowe@sakilacustomer.org,1,0.17
dave.gardiner@sakilacustomer.org,1,0.17
dwight.lombardi@sakilacustomer.org,1,0.17
laurie.lawrence@sakilacustomer.org,1,0.17
maureen.little@sakilacustomer.org,1,0.17
elsie.kelley@sakilacustomer.org,1,0.17
marilyn.ross@sakilacustomer.org,1,0.17
greg.robins@sakilacustomer.org,1,0.17
nancy.thomas@sakilacustomer.org,1,0.17
samantha.duncan@sakilacustomer.org,1,0.17
daryl.larue@sakilacustomer.org,1,0.17
thelma.murray@sakilacustomer.org,1,0.17
salvador.teel@sakilacustomer.org,1,0.17
tracey.barrett@sakilacustomer.org,1,0.17
willie.howell@sakilacustomer.org,1,0.17
ivan.cromwell@sakilacustomer.org,1,0.17
andre.rapp@sakilacustomer.org,1,0.17
theodore.culp@sakilacustomer.org,1,0.17
ricardo.meador@sakilacustomer.org,1,0.17
lena.jensen@sakilacustomer.org,1,0.17
kirk.stclair@sakilacustomer.org,1,0.17
mark.rinehart@sakilacustomer.org,1,0.17
terri.vasquez@sakilacustomer.org,1,0.17
margaret.moore@sakilacustomer.org,1,0.17
raymond.mcwhorter@sakilacustomer.org,1,0.17
suzanne.nichols@sakilacustomer.org,1,0.17
debra.nelson@sakilacustomer.org,1,0.17
beth.franklin@sakilacustomer.org,1,0.17
alvin.deloach@sakilacustomer.org,1,0.17
joy.george@sakilacustomer.org,1,0.17
sherry.marshall@sakilacustomer.org,1,0.17
tina.simmons@sakilacustomer.org,1,0.17
brian.wyman@sakilacustomer.org,1,0.17
clarence.gamez@sakilacustomer.org,1,0.17
phyllis.foster@sakilacustomer.org,1,0.17
miriam.mckinney@sakilacustomer.org,1,0.17
andrew.purdy@sakilacustomer.org,1,0.17
constance.reid@sakilacustomer.org,1,0.17
ida.andrews@sakilacustomer.org,1,0.17
lillie.kim@sakilacustomer.org,1,0.17
ross.grey@sakilacustomer.org,1,0.17
jordan.archuleta@sakilacustomer.org,1,0.17
becky.miles@sakilacustomer.org,1,0.17
derrick.bourque@sakilacustomer.org,1,0.17
jacqueline.long@sakilacustomer.org,1,0.17
bruce.schwarz@sakilacustomer.org,1,0.17
ernest.stepp@sakilacustomer.org,1,0.17
felicia.sutton@sakilacustomer.org,1,0.17
gene.sanborn@sakilacustomer.org,1,0.17
darrell.power@sakilacustomer.org,1,0.17
jennifer.davis@sakilacustomer.org,1,0.17
jill.hawkins@sakilacustomer.org,1,0.17
tonya.chapman@sakilacustomer.org,1,0.17
tommy.collazo@sakilacustomer.org,1,0.17
paul.trout@sakilacustomer.org,1,0.17
kelly.torres@sakilacustomer.org,1,0.17
mildred.bailey@sakilacustomer.org,1,0.17
randall.neumann@sakilacustomer.org,1,0.17
regina.berry@sakilacustomer.org,1,0.17
floyd.gandy@sakilacustomer.org,1,0.17
janice.ward@sakilacustomer.org,1,0.17
jacob.lance@sakilacustomer.org,1,0.17
wallace.slone@sakilacustomer.org,1,0.17
ronnie.ricketts@sakilacustomer.org,1,0.17
warren.sherrod@sakilacustomer.org,1,0.17
eddie.tomlin@sakilacustomer.org,1,0.17
dan.paine@sakilacustomer.org,1,0.17
sharon.robinson@sakilacustomer.org,1,0.17
lois.butler@sakilacustomer.org,1,0.17
joseph.joy@sakilacustomer.org,1,0.17
jean.bell@sakilacustomer.org,1,0.17
byron.box@sakilacustomer.org,1,0.17
jessie.banks@sakilacustomer.org,1,0.17
tiffany.jordan@sakilacustomer.org,1,0.17
luis.yanez@sakilacustomer.org,1,0.17
jackie.lynch@sakilacustomer.org,1,0.17
alma.austin@sakilacustomer.org,1,0.17
robert.baughman@sakilacustomer.org,1,0.17
misty.lambert@sakilacustomer.org,1,0.17
melinda.fernandez@sakilacustomer.org,1,0.17
ted.breaux@sakilacustomer.org,1,0.17
larry.thrasher@sakilacustomer.org,1,0.17
marjorie.tucker@sakilacustomer.org,1,0.17
irma.pearson@sakilacustomer.org,1,0.17
patricia.johnson@sakilacustomer.org,1,0.17
