address_phone,frequency,percentage
,2,0.33
352679173732,1,0.17
961370847344,1,0.17
800024380485,1,0.17
779461480495,1,0.17
760171523969,1,0.17
951486492670,1,0.17
196568435814,1,0.17
746251338300,1,0.17
581852137991,1,0.17
983259819766,1,0.17
863080561151,1,0.17
107137400143,1,0.17
449216226468,1,0.17
680768868518,1,0.17
440512153169,1,0.17
435785045362,1,0.17
594319417514,1,0.17
122981120653,1,0.17
835433605312,1,0.17
328494873422,1,0.17
45387294817,1,0.17
669828224459,1,0.17
182363341674,1,0.17
117592274996,1,0.17
539758313890,1,0.17
172262454487,1,0.17
720998247660,1,0.17
648856936185,1,0.17
508800331065,1,0.17
963369996279,1,0.17
525518075499,1,0.17
338244023543,1,0.17
834061016202,1,0.17
764680915323,1,0.17
131370665218,1,0.17
704948322302,1,0.17
816436065431,1,0.17
90336226227,1,0.17
296394569728,1,0.17
716256596301,1,0.17
764477681869,1,0.17
978987363654,1,0.17
142596392389,1,0.17
756460337785,1,0.17
896314772871,1,0.17
602101369463,1,0.17
49677664184,1,0.17
935508855935,1,0.17
840957664136,1,0.17
627425618482,1,0.17
46568045367,1,0.17
947233365992,1,0.17
6171054059,1,0.17
203804046132,1,0.17
665993880048,1,0.17
634445428822,1,0.17
695479687538,1,0.17
165164761435,1,0.17
504434452842,1,0.17
786270036240,1,0.17
205524798287,1,0.17
618156722572,1,0.17
610173756082,1,0.17
175283210378,1,0.17
630424482919,1,0.17
272572357893,1,0.17
635297277345,1,0.17
697656479977,1,0.17
553452430707,1,0.17
806016930576,1,0.17
409315295763,1,0.17
686015532180,1,0.17
357593328658,1,0.17
936806643983,1,0.17
769370126331,1,0.17
768481779568,1,0.17
706878974831,1,0.17
583021225407,1,0.17
63937119031,1,0.17
280578750435,1,0.17
29341849811,1,0.17
338758048786,1,0.17
359478883004,1,0.17
615964523510,1,0.17
965273813662,1,0.17
268053970382,1,0.17
407218522294,1,0.17
885899703621,1,0.17
824370924746,1,0.17
953689007081,1,0.17
702955450528,1,0.17
493008546874,1,0.17
157133457169,1,0.17
14033335568,1,0.17
889538496300,1,0.17
71857599858,1,0.17
99760893676,1,0.17
701457319790,1,0.17
49084281333,1,0.17
824396883951,1,0.17
817248913162,1,0.17
678220867005,1,0.17
96604821070,1,0.17
256546485220,1,0.17
168758068397,1,0.17
470884141195,1,0.17
272234298332,1,0.17
387448063440,1,0.17
402630109080,1,0.17
491271355190,1,0.17
391065549876,1,0.17
250767749542,1,0.17
52709222667,1,0.17
734780743462,1,0.17
622884741180,1,0.17
565018274456,1,0.17
604177838256,1,0.17
302590383819,1,0.17
556100547674,1,0.17
181179321332,1,0.17
745994947458,1,0.17
56257502250,1,0.17
266798132374,1,0.17
765345144779,1,0.17
4764773857,1,0.17
69493378813,1,0.17
135407755975,1,0.17
904253967161,1,0.17
379804592943,1,0.17
158399646978,1,0.17
689199636560,1,0.17
905903574913,1,0.17
321944036800,1,0.17
35533115997,1,0.17
787654415858,1,0.17
619966287415,1,0.17
574973479129,1,0.17
868602816371,1,0.17
572068624538,1,0.17
85059738746,1,0.17
129953030512,1,0.17
541327526474,1,0.17
716571220373,1,0.17
128499386727,1,0.17
688485191923,1,0.17
169352919175,1,0.17
369050085652,1,0.17
935448624185,1,0.17
727785483194,1,0.17
924663855568,1,0.17
484292626944,1,0.17
920811325222,1,0.17
55477302294,1,0.17
838635286649,1,0.17
548003849552,1,0.17
161801569569,1,0.17
932156667696,1,0.17
620719383725,1,0.17
119501405123,1,0.17
419009857119,1,0.17
366776723320,1,0.17
145308717464,1,0.17
303967439816,1,0.17
689681677428,1,0.17
598912394463,1,0.17
912257250465,1,0.17
262744791493,1,0.17
481183273622,1,0.17
166898395731,1,0.17
718917251754,1,0.17
429925609431,1,0.17
211256301880,1,0.17
562370137426,1,0.17
437829801725,1,0.17
909029256431,1,0.17
246810237916,1,0.17
333390595558,1,0.17
378318851631,1,0.17
330838016880,1,0.17
62127829280,1,0.17
684529463244,1,0.17
177727722820,1,0.17
407752414682,1,0.17
738968474939,1,0.17
350970907017,1,0.17
867546627903,1,0.17
867287719310,1,0.17
911872220378,1,0.17
28303384290,1,0.17
974433019532,1,0.17
333339908719,1,0.17
168476538960,1,0.17
262076994845,1,0.17
342709348083,1,0.17
873492228462,1,0.17
479007229460,1,0.17
829116184079,1,0.17
923261616249,1,0.17
490211944645,1,0.17
168884817145,1,0.17
970638808606,1,0.17
426346224043,1,0.17
42384721397,1,0.17
46871694740,1,0.17
171822533480,1,0.17
931059836497,1,0.17
198123170793,1,0.17
665356572025,1,0.17
80303246192,1,0.17
947468818183,1,0.17
252265130067,1,0.17
736517327853,1,0.17
165450987037,1,0.17
22326410776,1,0.17
151249681135,1,0.17
987306329957,1,0.17
201705577290,1,0.17
177167004331,1,0.17
563660187896,1,0.17
377633994405,1,0.17
164414772677,1,0.17
821476736117,1,0.17
959949395183,1,0.17
137809746111,1,0.17
698182547686,1,0.17
701767622697,1,0.17
347487831378,1,0.17
890283544295,1,0.17
195337700615,1,0.17
144453869132,1,0.17
144206758053,1,0.17
547003310357,1,0.17
84794532510,1,0.17
855066328617,1,0.17
435118527255,1,0.17
103602195112,1,0.17
584316724815,1,0.17
214756839122,1,0.17
800716535041,1,0.17
62781725285,1,0.17
588964509072,1,0.17
499352017190,1,0.17
962020153680,1,0.17
275595571388,1,0.17
9099941466,1,0.17
345679835036,1,0.17
106439158941,1,0.17
680851640676,1,0.17
747791594069,1,0.17
407733804223,1,0.17
819416131190,1,0.17
855290087237,1,0.17
537374465982,1,0.17
191958435142,1,0.17
48417642933,1,0.17
991802825778,1,0.17
954786054144,1,0.17
667736124769,1,0.17
264286442804,1,0.17
134673576619,1,0.17
478380208348,1,0.17
255800440636,1,0.17
406784385440,1,0.17
195003555232,1,0.17
778502731092,1,0.17
934730187245,1,0.17
137773001988,1,0.17
855863906434,1,0.17
20064292617,1,0.17
333489324603,1,0.17
241832790687,1,0.17
680428310138,1,0.17
674805712553,1,0.17
869051782691,1,0.17
278669994384,1,0.17
45554316010,1,0.17
679095087143,1,0.17
223664661973,1,0.17
726875628268,1,0.17
294449058179,1,0.17
403404780639,1,0.17
335052544020,1,0.17
146640639760,1,0.17
997453607116,1,0.17
82671830126,1,0.17
105470691550,1,0.17
132986892228,1,0.17
386759646229,1,0.17
307703950263,1,0.17
448477190408,1,0.17
761379480249,1,0.17
440365973660,1,0.17
880756161823,1,0.17
170117068815,1,0.17
869507847714,1,0.17
590764256785,1,0.17
516647474029,1,0.17
790651020929,1,0.17
471675840679,1,0.17
282667506728,1,0.17
146497509724,1,0.17
50898428626,1,0.17
581174211853,1,0.17
508348602835,1,0.17
582835362905,1,0.17
834418779292,1,0.17
486395999608,1,0.17
870635127812,1,0.17
196495945706,1,0.17
96846695220,1,0.17
632316273199,1,0.17
288910576761,1,0.17
442673923363,1,0.17
1483365694,1,0.17
754358349853,1,0.17
782900030287,1,0.17
214976066017,1,0.17
209342540247,1,0.17
154124128457,1,0.17
118011831565,1,0.17
80593242951,1,0.17
990214419142,1,0.17
558236142492,1,0.17
307133768620,1,0.17
990911107354,1,0.17
111177206479,1,0.17
670370974122,1,0.17
710603868323,1,0.17
928809465153,1,0.17
650752094490,1,0.17
600264533987,1,0.17
239357986667,1,0.17
705800322606,1,0.17
315528269898,1,0.17
18581624103,1,0.17
785881412500,1,0.17
427454485876,1,0.17
75975221996,1,0.17
251164340471,1,0.17
793996678771,1,0.17
491001136577,1,0.17
998009777982,1,0.17
516331171356,1,0.17
506134035434,1,0.17
264541743403,1,0.17
341242939532,1,0.17
409983924481,1,0.17
627705991774,1,0.17
145720452260,1,0.17
573441801529,1,0.17
918119601885,1,0.17
684192903087,1,0.17
302526949177,1,0.17
161643343536,1,0.17
624138001031,1,0.17
765957414528,1,0.17
161968374323,1,0.17
987442542471,1,0.17
368738360376,1,0.17
792557457753,1,0.17
677976133614,1,0.17
741070712873,1,0.17
324346485054,1,0.17
589377568313,1,0.17
775235029633,1,0.17
621625204422,1,0.17
33173584456,1,0.17
561729882725,1,0.17
895616862749,1,0.17
932992626595,1,0.17
14465669789,1,0.17
1395251317,1,0.17
489783829737,1,0.17
956188728558,1,0.17
478229987054,1,0.17
841876514789,1,0.17
469738825391,1,0.17
890289150158,1,0.17
754579047924,1,0.17
192459639410,1,0.17
650496654258,1,0.17
856872225376,1,0.17
914466027044,1,0.17
206060652238,1,0.17
946114054231,1,0.17
499408708580,1,0.17
240776414296,1,0.17
525255540978,1,0.17
886636413768,1,0.17
357445645426,1,0.17
363982224739,1,0.17
465887807014,1,0.17
879347453467,1,0.17
38988715447,1,0.17
