customer_email,frequency
harold.martino@sakilacustomer.org,1
bob.pfeiffer@sakilacustomer.org,1
sean.douglass@sakilacustomer.org,1
jo.fowler@sakilacustomer.org,1
raul.fortier@sakilacustomer.org,1
jeanne.lawson@sakilacustomer.org,1
annette.olson@sakilacustomer.org,1
cindy.fisher@sakilacustomer.org,1
diane.collins@sakilacustomer.org,1
shelly.watts@sakilacustomer.org,1
megan.palmer@sakilacustomer.org,1
erica.matthews@sakilacustomer.org,1
beverly.brooks@sakilacustomer.org,1
beatrice.arnold@sakilacustomer.org,1
glen.talbert@sakilacustomer.org,1
randy.gaither@sakilacustomer.org,1
virginia.green@sakilacustomer.org,1
tyrone.asher@sakilacustomer.org,1
glenda.frazier@sakilacustomer.org,1
louis.leone@sakilacustomer.org,1
rhonda.kennedy@sakilacustomer.org,1
herman.devore@sakilacustomer.org,1
carla.gutierrez@sakilacustomer.org,1
carol.garcia@sakilacustomer.org,1
perry.swafford@sakilacustomer.org,1
anita.morales@sakilacustomer.org,1
andrea.henderson@sakilacustomer.org,1
michelle.clark@sakilacustomer.org,1
lauren.hudson@sakilacustomer.org,1
susan.wilson@sakilacustomer.org,1
gertrude.castillo@sakilacustomer.org,1
yolanda.weaver@sakilacustomer.org,1
lawrence.lawton@sakilacustomer.org,1
betty.white@sakilacustomer.org,1
troy.quigley@sakilacustomer.org,1
mario.cheatham@sakilacustomer.org,1
clara.shaw@sakilacustomer.org,1
matthew.mahan@sakilacustomer.org,1
tamara.nguyen@sakilacustomer.org,1
billie.horton@sakilacustomer.org,1
wendy.harrison@sakilacustomer.org,1
mabel.holland@sakilacustomer.org,1
edward.baugh@sakilacustomer.org,1
dean.sauer@sakilacustomer.org,1
minnie.romero@sakilacustomer.org,1
cynthia.young@sakilacustomer.org,1
jack.foust@sakilacustomer.org,1
sidney.burleson@sakilacustomer.org,1
elaine.stevens@sakilacustomer.org,1
brittany.riley@sakilacustomer.org,1
billy.poulin@sakilacustomer.org,1
cory.meehan@sakilacustomer.org,1
pauline.henry@sakilacustomer.org,1
leona.obrien@sakilacustomer.org,1
nicole.peterson@sakilacustomer.org,1
dustin.gillette@sakilacustomer.org,1
nathaniel.adam@sakilacustomer.org,1
sally.pierce@sakilacustomer.org,1
jesus.mccartney@sakilacustomer.org,1
isaac.oglesby@sakilacustomer.org,1
marshall.thorn@sakilacustomer.org,1
peggy.myers@sakilacustomer.org,1
theresa.watson@sakilacustomer.org,1
peter.menard@sakilacustomer.org,1
josephine.gomez@sakilacustomer.org,1
kurt.emmons@sakilacustomer.org,1
steven.curley@sakilacustomer.org,1
grace.ellis@sakilacustomer.org,1
justin.ngo@sakilacustomer.org,1
gwendolyn.may@sakilacustomer.org,1
victoria.gibson@sakilacustomer.org,1
bobbie.craig@sakilacustomer.org,1
carolyn.perez@sakilacustomer.org,1
amy.lopez@sakilacustomer.org,1
joann.gardner@sakilacustomer.org,1
leroy.bustamante@sakilacustomer.org,1
albert.crouse@sakilacustomer.org,1
sherri.rhodes@sakilacustomer.org,1
lynn.payne@sakilacustomer.org,1
frank.waggoner@sakilacustomer.org,1
jane.bennett@sakilacustomer.org,1
reginald.kinder@sakilacustomer.org,1
william.satterfield@sakilacustomer.org,1
kelly.knott@sakilacustomer.org,1
doris.reed@sakilacustomer.org,1
melvin.ellington@sakilacustomer.org,1
shannon.freeman@sakilacustomer.org,1
cathy.spencer@sakilacustomer.org,1
mitchell.westmoreland@sakilacustomer.org,1
angel.barclay@sakilacustomer.org,1
johnnie.chisholm@sakilacustomer.org,1
irene.price@sakilacustomer.org,1
wanda.patterson@sakilacustomer.org,1
katie.elliott@sakilacustomer.org,1
caroline.bowman@sakilacustomer.org,1
lester.kraus@sakilacustomer.org,1
marian.mendoza@sakilacustomer.org,1
jose.andrew@sakilacustomer.org,1
bessie.morrison@sakilacustomer.org,1
felix.gaffney@sakilacustomer.org,1
duane.tubbs@sakilacustomer.org,1
vernon.chapa@sakilacustomer.org,1
jamie.waugh@sakilacustomer.org,1
brett.cornwell@sakilacustomer.org,1
