rental_id,rental_date,return_date,payment_id,payment_amount,payment_date,payment_status,accrual_amount,total_revenue,customer_id,customer_first_name,customer_last_name,customer_address,customer_city,customer_country,region,film_id,title,release_year,rental_term,rental_rate,rating,language,category,store_id,staff_id,staff_first_name,staff_last_name
1520,2005-06-15,2005-06-24,17503,7.99,2007-02-15,paid,0,7.99,341,Peter,Menard,1217 Konotop Avenue,Ede,Netherlands,Europe,749,Rules Human,2006,6,4.99,R,English,Horror,1,1,Mike,Hillyer
1778,2005-06-16,2005-06-22,17504,1.99,2007-02-16,paid,0,1.99,341,Peter,Menard,1217 Konotop Avenue,Ede,Netherlands,Europe,552,Majestic Floats,2006,5,0.99,PG,English,Documentary,2,2,Jon,Stephens
1849,2005-06-17,2005-06-23,17505,7.99,2007-02-16,paid,0,7.99,341,Peter,Menard,1217 Konotop Avenue,Ede,Netherlands,Europe,551,Maiden Home,2006,3,4.99,PG,English,New,1,2,Jon,Stephens
2829,2005-06-19,2005-06-24,17506,2.99,2007-02-19,paid,0,2.99,341,Peter,Menard,1217 Konotop Avenue,Ede,Netherlands,Europe,445,Hyde Doctor,2006,5,2.99,G,English,Classics,1,1,Mike,Hillyer
3130,2005-06-20,2005-06-29,17507,7.99,2007-02-20,paid,0,7.99,341,Peter,Menard,1217 Konotop Avenue,Ede,Netherlands,Europe,563,Massacre Usual,2006,6,4.99,R,English,Games,1,2,Jon,Stephens
3382,2005-06-21,2005-06-29,17508,5.99,2007-02-21,paid,0,5.99,341,Peter,Menard,1217 Konotop Avenue,Ede,Netherlands,Europe,26,Annie Identity,2006,3,0.99,G,English,Sci-Fi,1,2,Jon,Stephens
2190,2005-06-18,2005-06-26,17509,5.99,2007-02-17,paid,0,5.99,342,Harold,Martino,1293 Nam Dinh Way,Boa Vista,Brazil,Latin America,961,Wash Heavenly,2006,7,4.99,R,English,Foreign,2,2,Jon,Stephens
2914,2005-06-20,2005-06-25,17510,5.99,2007-02-20,paid,0,5.99,342,Harold,Martino,1293 Nam Dinh Way,Boa Vista,Brazil,Latin America,527,Lola Agent,2006,4,4.99,PG,English,Horror,2,2,Jon,Stephens
3081,2005-06-20,2005-06-24,17511,2.99,2007-02-20,paid,0,2.99,342,Harold,Martino,1293 Nam Dinh Way,Boa Vista,Brazil,Latin America,449,Identity Lover,2006,4,2.99,PG-13,English,Sci-Fi,2,2,Jon,Stephens
1547,2005-06-16,2005-06-19,17512,4.99,2007-02-16,paid,0,4.99,343,Douglas,Graf,785 Vaduz Street,Mexicali,Mexico,North America,639,Opposite Necklace,2006,7,4.99,PG,English,Family,2,1,Mike,Hillyer
1564,2005-06-16,2005-06-24,17513,6.99,2007-02-16,paid,0,6.99,343,Douglas,Graf,785 Vaduz Street,Mexicali,Mexico,North America,30,Anything Savannah,2006,4,2.99,R,English,Horror,1,1,Mike,Hillyer
1879,2005-06-17,2005-06-19,17514,0.99,2007-02-17,paid,0,0.99,343,Douglas,Graf,785 Vaduz Street,Mexicali,Mexico,North America,868,Superfly Trip,2006,5,0.99,PG,English,Travel,1,1,Mike,Hillyer
1922,2005-06-17,2005-06-18,17515,0.99,2007-02-17,paid,0,0.99,343,Douglas,Graf,785 Vaduz Street,Mexicali,Mexico,North America,545,Madness Attacks,2006,4,0.99,PG-13,English,Foreign,1,2,Jon,Stephens
2461,2005-06-18,2005-06-28,17516,6.99,2007-02-18,paid,0,6.99,343,Douglas,Graf,785 Vaduz Street,Mexicali,Mexico,North America,16,Alley Evolution,2006,6,2.99,NC-17,English,Foreign,1,2,Jon,Stephens
2980,2005-06-20,2005-06-29,17517,8.99,2007-02-20,paid,0,8.99,343,Douglas,Graf,785 Vaduz Street,Mexicali,Mexico,North America,69,Beverly Outlaw,2006,3,2.99,R,English,Sci-Fi,2,2,Jon,Stephens
